model_id,family,table_rows,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,numeric_mae,numeric_rmse,anomaly_f1_macro
ollama-gemma-latest,family1_qa,20,90,0.1,1.0,4045.162135225514,6409.3034898047335,0.0,106.8,8.991111945058462e-06,2.697333583517538e-06,0.0,672886.1033333333,944143.074974572,
ollama-qwen2.5-7b-instruct,family1_qa,20,90,0.06666666666666667,1.0,7116.193901318022,13094.131310412195,0.0,200.57777777777778,1.5816015709214653e-05,4.744804712764396e-06,0.0,362341.0333333333,502988.56745930784,
ollama-qwen-latest,family1_qa,20,90,0.0,0.0,872.0797226660782,2137.4157542828452,0.0,23.866666666666667,1.9394223224537186e-06,5.818266967361155e-07,0.0,,,
ollama-deepseek-coder-latest,family1_qa,20,90,0.0,0.23333333333333334,1776.0888444699553,3726.36599362595,0.0,246.2,3.9483168563812064e-06,1.184495056914362e-06,0.0,704786.0,766128.2692891576,
ollama-llama2-latest,family1_qa,20,90,0.0,0.0,1932.8291736077517,3806.025018845685,0.0,43.577777777777776,4.296917047805585e-06,1.2890751143416755e-06,0.0,,,
ollama-llama3-latest,family1_qa,20,90,0.0,1.0,2607.0998259664825,4006.870321254246,0.0,76.15555555555555,5.795218807840861e-06,1.738565642352258e-06,0.0,696209.2666666667,773765.4489104132,
ollama-codellama-latest,family1_qa,20,90,0.0,0.0,2966.3117616670206,4755.758570879698,0.0,92.63333333333334,6.593390086413484e-06,1.9780170259240454e-06,0.0,,,
ollama-qwen2.5-3b-instruct,family1_qa,20,90,0.0,0.9666666666666667,3065.260706559962,6475.1292892266065,0.0,180.42222222222222,6.815606037205558e-06,2.0446818111616675e-06,0.0,926489.6091954022,975707.0027373666,
ollama-mistral-latest,family1_qa,20,90,0.0,1.0,5223.548202721092,7947.51420612447,0.0,147.35555555555555,1.1609569181919885e-05,3.4828707545759656e-06,0.0,751823.9333333333,851719.8534962068,
ollama-mistral-7b-instruct,family1_qa,20,90,0.0,1.0,6281.536793882131,14179.96632955037,0.0,147.35555555555555,1.3961284830143711e-05,4.188385449043113e-06,0.0,751823.9333333333,851719.8534962068,
ollama-gemma-latest,family1_qa,100,90,0.13333333333333333,1.0,7942.025007387727,14455.284027021844,0.0,145.83333333333334,1.765043308088278e-05,5.295129924264834e-06,0.0,2011858.8400000003,2485777.5809603347,
ollama-deepseek-coder-latest,family1_qa,100,90,0.0,0.06666666666666667,2366.366196364268,6722.8177938610315,0.0,165.48888888888888,5.2600566712574556e-06,1.5780170013772366e-06,0.0,2355003.55,2412738.5405975105,
ollama-qwen2.5-3b-instruct,family1_qa,100,90,0.0,0.9666666666666667,3065.5835842817196,6198.332991288044,0.0,105.02222222222223,6.813927287130452e-06,2.0441781861391354e-06,0.0,2449343.724137931,2762947.9186205296,
