2026-03-03 13:37:21,074 | INFO | [1/75 |   1.3% | 0.12 it/s] model=openai-gpt-4.1-mini task=seds_f1_C2_r20_001 family=family1_qa rep=0 lat_total_ms=8072.1 energy_kwh=0.000158567 src=ecologits err=None
2026-03-03 13:38:53,651 | INFO | [11/75 |  14.7% | 0.11 it/s] model=openai-gpt-4.1-mini task=seds_f1_C2_r250_001 family=family1_qa rep=0 lat_total_ms=8831.5 energy_kwh=0.000183842 src=ecologits err=None
2026-03-03 13:40:25,485 | INFO | [21/75 |  28.0% | 0.11 it/s] model=openai-gpt-4.1-mini task=seds_f1_C2_r1000_001 family=family1_qa rep=0 lat_total_ms=11836.8 energy_kwh=0.000190886 src=ecologits err=None
2026-03-03 13:42:06,760 | INFO | [31/75 |  41.3% | 0.11 it/s] model=openai-gpt-4.1 task=seds_f1_C2_r100_001 family=family1_qa rep=0 lat_total_ms=5305.9 energy_kwh=0.000840764 src=ecologits err=None
2026-03-03 13:43:17,318 | INFO | [41/75 |  54.7% | 0.11 it/s] model=openai-gpt-4.1 task=seds_f1_C2_r500_001 family=family1_qa rep=0 lat_total_ms=7298.5 energy_kwh=0.000865671 src=ecologits err=None
2026-03-03 13:44:37,248 | INFO | [51/75 |  68.0% | 0.11 it/s] model=openai-o3-mini task=seds_f1_C2_r20_001 family=family1_qa rep=0 lat_total_ms=258.8 energy_kwh=5.80602e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
2026-03-03 13:44:39,368 | INFO | [61/75 |  81.3% | 0.14 it/s] model=openai-o3-mini task=seds_f1_C2_r250_001 family=family1_qa rep=0 lat_total_ms=184.1 energy_kwh=4.11096e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
2026-03-03 13:44:44,460 | INFO | [71/75 |  94.7% | 0.16 it/s] model=openai-o3-mini task=seds_f1_C2_r1000_001 family=family1_qa rep=0 lat_total_ms=546.7 energy_kwh=1.21702e-06 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
2026-03-03 19:03:22,985 | INFO | [1/75 |   1.3% | 0.12 it/s] model=openai-gpt-4.1-mini task=seds_f1_C2_r20_001 family=family1_qa rep=0 lat_total_ms=8499.6 energy_kwh=0.000164789 src=ecologits err=None
2026-03-03 19:04:43,563 | INFO | [11/75 |  14.7% | 0.12 it/s] model=openai-gpt-4.1-mini task=seds_f1_C2_r250_001 family=family1_qa rep=0 lat_total_ms=5697.4 energy_kwh=0.000176498 src=ecologits err=None
2026-03-03 19:06:09,996 | INFO | [21/75 |  28.0% | 0.12 it/s] model=openai-gpt-4.1-mini task=seds_f1_C2_r1000_001 family=family1_qa rep=0 lat_total_ms=9804.7 energy_kwh=0.000186123 src=ecologits err=None
