2026-03-03 15:34:04,494 | INFO | [1/75 |   1.3% | 0.23 it/s] model=openai-gpt-4.1-mini task=seds_f1_C4_r20_001 family=family1_qa rep=0 lat_total_ms=4281.1 energy_kwh=8.99733e-05 src=ecologits err=None
2026-03-03 15:34:54,084 | INFO | [11/75 |  14.7% | 0.20 it/s] model=openai-gpt-4.1-mini task=seds_f1_C4_r250_001 family=family1_qa rep=0 lat_total_ms=5498.7 energy_kwh=9.9026e-05 src=ecologits err=None
2026-03-03 15:35:48,457 | INFO | [21/75 |  28.0% | 0.19 it/s] model=openai-gpt-4.1-mini task=seds_f1_C4_r1000_001 family=family1_qa rep=0 lat_total_ms=5378.9 energy_kwh=0.000175751 src=ecologits err=None
2026-03-03 15:36:50,428 | INFO | [31/75 |  41.3% | 0.18 it/s] model=openai-gpt-4.1 task=seds_f1_C4_r100_001 family=family1_qa rep=0 lat_total_ms=5611.9 energy_kwh=0.00062774 src=ecologits err=None
2026-03-03 15:37:46,336 | INFO | [41/75 |  54.7% | 0.18 it/s] model=openai-gpt-4.1 task=seds_f1_C4_r500_001 family=family1_qa rep=0 lat_total_ms=5442.2 energy_kwh=0.000610134 src=ecologits err=None
2026-03-03 15:38:53,660 | INFO | [51/75 |  68.0% | 0.17 it/s] model=openai-o3-mini task=seds_f1_C4_r20_001 family=family1_qa rep=0 lat_total_ms=232.0 energy_kwh=5.20116e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
2026-03-03 15:38:57,425 | INFO | [61/75 |  81.3% | 0.21 it/s] model=openai-o3-mini task=seds_f1_C4_r250_001 family=family1_qa rep=0 lat_total_ms=218.1 energy_kwh=4.87126e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
2026-03-03 15:38:59,583 | INFO | [71/75 |  94.7% | 0.24 it/s] model=openai-o3-mini task=seds_f1_C4_r1000_001 family=family1_qa rep=0 lat_total_ms=204.3 energy_kwh=4.56724e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
2026-03-03 19:57:56,477 | INFO | [1/75 |   1.3% | 0.23 it/s] model=openai-gpt-4.1-mini task=seds_f1_C4_r20_001 family=family1_qa rep=0 lat_total_ms=4206.7 energy_kwh=8.97986e-05 src=ecologits err=None
2026-03-03 19:58:45,375 | INFO | [11/75 |  14.7% | 0.21 it/s] model=openai-gpt-4.1-mini task=seds_f1_C4_r250_001 family=family1_qa rep=0 lat_total_ms=3985.8 energy_kwh=9.548e-05 src=ecologits err=None
2026-03-03 19:59:42,001 | INFO | [21/75 |  28.0% | 0.19 it/s] model=openai-gpt-4.1-mini task=seds_f1_C4_r1000_001 family=family1_qa rep=0 lat_total_ms=8574.6 energy_kwh=0.000183242 src=ecologits err=None
