2026-03-03 16:22:49,968 | INFO | [1/75 |   1.3% | 0.26 it/s] model=openai-gpt-4.1-mini task=seds_f2_C1_L20_001 family=family2_anomaly rep=0 lat_total_ms=3767.9 energy_kwh=7.0823e-05 src=ecologits err=None
2026-03-03 16:23:25,422 | INFO | [11/75 |  14.7% | 0.28 it/s] model=openai-gpt-4.1-mini task=seds_f2_C1_L250_001 family=family2_anomaly rep=0 lat_total_ms=4152.6 energy_kwh=8.64091e-05 src=ecologits err=None
2026-03-03 16:24:28,184 | INFO | [21/75 |  28.0% | 0.21 it/s] model=openai-gpt-4.1-mini task=seds_f2_C1_L1000_001 family=family2_anomaly rep=0 lat_total_ms=11771.4 energy_kwh=0.000104918 src=ecologits err=None
2026-03-03 16:25:27,377 | INFO | [31/75 |  41.3% | 0.19 it/s] model=openai-gpt-4.1 task=seds_f2_C1_L100_001 family=family2_anomaly rep=0 lat_total_ms=2557.8 energy_kwh=0.000352576 src=ecologits err=None
2026-03-03 16:26:09,578 | INFO | [41/75 |  54.7% | 0.20 it/s] model=openai-gpt-4.1 task=seds_f2_C1_L500_001 family=family2_anomaly rep=0 lat_total_ms=4524.4 energy_kwh=0.000456154 src=ecologits err=None
2026-03-03 16:27:20,649 | INFO | [51/75 |  68.0% | 0.19 it/s] model=openai-o3-mini task=seds_f2_C1_L20_001 family=family2_anomaly rep=0 lat_total_ms=254.9 energy_kwh=5.72163e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
2026-03-03 16:27:25,398 | INFO | [61/75 |  81.3% | 0.22 it/s] model=openai-o3-mini task=seds_f2_C1_L250_001 family=family2_anomaly rep=0 lat_total_ms=223.0 energy_kwh=4.98179e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
2026-03-03 16:27:27,796 | INFO | [71/75 |  94.7% | 0.25 it/s] model=openai-o3-mini task=seds_f2_C1_L1000_001 family=family2_anomaly rep=0 lat_total_ms=240.9 energy_kwh=5.37794e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
2026-03-03 16:34:18,819 | INFO | [1/75 |   1.3% | 0.35 it/s] model=openai-gpt-4.1-mini task=seds_f2_C1_L20_001 family=family2_anomaly rep=0 lat_total_ms=2787.6 energy_kwh=6.85235e-05 src=ecologits err=None
2026-03-03 16:34:54,777 | INFO | [11/75 |  14.7% | 0.28 it/s] model=openai-gpt-4.1-mini task=seds_f2_C1_L250_001 family=family2_anomaly rep=0 lat_total_ms=3157.3 energy_kwh=7.88569e-05 src=ecologits err=None
2026-03-03 16:35:39,615 | INFO | [21/75 |  28.0% | 0.25 it/s] model=openai-gpt-4.1-mini task=seds_f2_C1_L1000_001 family=family2_anomaly rep=0 lat_total_ms=5881.1 energy_kwh=8.06712e-05 src=ecologits err=None
2026-03-03 16:36:23,257 | INFO | [31/75 |  41.3% | 0.24 it/s] model=openai-gpt-4.1 task=seds_f2_C1_L100_001 family=family2_anomaly rep=0 lat_total_ms=3578.8 energy_kwh=0.000377736 src=ecologits err=None
2026-03-03 16:37:06,575 | INFO | [41/75 |  54.7% | 0.24 it/s] model=openai-gpt-4.1 task=seds_f2_C1_L500_001 family=family2_anomaly rep=0 lat_total_ms=7501.6 energy_kwh=0.000484083 src=ecologits err=None
2026-03-03 16:38:19,041 | INFO | [51/75 |  68.0% | 0.21 it/s] model=openai-o3-mini task=seds_f2_C1_L20_001 family=family2_anomaly rep=0 lat_total_ms=250.4 energy_kwh=5.61418e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
2026-03-03 16:38:21,738 | INFO | [61/75 |  81.3% | 0.25 it/s] model=openai-o3-mini task=seds_f2_C1_L250_001 family=family2_anomaly rep=0 lat_total_ms=185.4 energy_kwh=4.14775e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
2026-03-03 16:38:24,192 | INFO | [71/75 |  94.7% | 0.29 it/s] model=openai-o3-mini task=seds_f2_C1_L1000_001 family=family2_anomaly rep=0 lat_total_ms=338.1 energy_kwh=7.53512e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
2026-03-03 20:13:59,717 | INFO | [1/75 |   1.3% | 0.28 it/s] model=openai-gpt-4.1-mini task=seds_f2_C1_L20_001 family=family2_anomaly rep=0 lat_total_ms=3522.4 energy_kwh=7.25301e-05 src=ecologits err=None
2026-03-03 20:14:39,750 | INFO | [11/75 |  14.7% | 0.25 it/s] model=openai-gpt-4.1-mini task=seds_f2_C1_L250_001 family=family2_anomaly rep=0 lat_total_ms=11397.9 energy_kwh=9.22973e-05 src=ecologits err=None
