2026-03-04 09:06:38,506 | INFO | [1/75 |   1.3% | 0.25 it/s] model=openai-gpt-4.1-mini task=seds_f3_C1_r20_001 family=family3_forecast rep=0 lat_total_ms=3973.8 energy_kwh=8.14189e-05 src=ecologits err=None
2026-03-04 09:07:23,641 | INFO | [11/75 |  14.7% | 0.22 it/s] model=openai-gpt-4.1-mini task=seds_f3_C1_r250_001 family=family3_forecast rep=0 lat_total_ms=4944.2 energy_kwh=8.46737e-05 src=ecologits err=None
2026-03-04 09:08:26,198 | INFO | [21/75 |  28.0% | 0.19 it/s] model=openai-gpt-4.1-mini task=seds_f3_C1_r1000_001 family=family3_forecast rep=0 lat_total_ms=7147.0 energy_kwh=0.000132907 src=ecologits err=None
2026-03-04 09:09:11,329 | INFO | [31/75 |  41.3% | 0.20 it/s] model=openai-gpt-4.1 task=seds_f3_C1_r100_001 family=family3_forecast rep=0 lat_total_ms=2370.6 energy_kwh=0.000364177 src=ecologits err=None
2026-03-04 09:09:42,461 | INFO | [41/75 |  54.7% | 0.22 it/s] model=openai-gpt-4.1 task=seds_f3_C1_r500_001 family=family3_forecast rep=0 lat_total_ms=4020.7 energy_kwh=0.000375511 src=ecologits err=None
2026-03-04 09:10:24,998 | INFO | [51/75 |  68.0% | 0.22 it/s] model=openai-o3-mini task=seds_f3_C1_r20_001 family=family3_forecast rep=0 lat_total_ms=3888.3 energy_kwh=3.35032e-05 src=ecologits err=None
2026-03-04 09:11:06,015 | INFO | [61/75 |  81.3% | 0.22 it/s] model=openai-o3-mini task=seds_f3_C1_r250_001 family=family3_forecast rep=0 lat_total_ms=4277.0 energy_kwh=3.38077e-05 src=ecologits err=None
2026-03-04 09:11:48,666 | INFO | [71/75 |  94.7% | 0.23 it/s] model=openai-o3-mini task=seds_f3_C1_r1000_001 family=family3_forecast rep=0 lat_total_ms=4402.1 energy_kwh=3.39054e-05 src=ecologits err=None
2026-03-05 01:31:11,704 | INFO | [1/75 |   1.3% | 0.25 it/s] model=openai-gpt-4.1-mini task=seds_f3_C1_r20_001 family=family3_forecast rep=0 lat_total_ms=3939.8 energy_kwh=8.77727e-06 src=local_heuristic err=InternalServerError("Error code: 500 - {'error': {'message': 'The server had an error while processing your request. Sorry about that!', 'type': 'server_error', 'param': None, 'code': None}}")
2026-03-05 01:33:44,534 | INFO | [11/75 |  14.7% | 0.07 it/s] model=openai-gpt-4.1-mini task=seds_f3_C1_r250_001 family=family3_forecast rep=0 lat_total_ms=2685.6 energy_kwh=5.97271e-06 src=local_heuristic err=InternalServerError("Error code: 500 - {'error': {'message': 'The server had an error while processing your request. Sorry about that!', 'type': 'server_error', 'param': None, 'code': None}}")
2026-03-05 01:36:35,594 | INFO | [21/75 |  28.0% | 0.06 it/s] model=openai-gpt-4.1-mini task=seds_f3_C1_r1000_001 family=family3_forecast rep=0 lat_total_ms=40613.2 energy_kwh=0.000186037 src=ecologits err=None
2026-03-05 01:39:56,289 | INFO | [31/75 |  41.3% | 0.06 it/s] model=openai-gpt-4.1 task=seds_f3_C1_r100_001 family=family3_forecast rep=0 lat_total_ms=11456.0 energy_kwh=0.000468457 src=ecologits err=None
2026-03-05 01:40:54,871 | INFO | [41/75 |  54.7% | 0.07 it/s] model=openai-gpt-4.1 task=seds_f3_C1_r500_001 family=family3_forecast rep=0 lat_total_ms=5613.2 energy_kwh=1.24835e-05 src=local_heuristic err=InternalServerError("Error code: 500 - {'error': {'message': 'The server had an error while processing your request. Sorry about that!', 'type': 'server_error', 'param': None, 'code': None}}")
2026-03-05 01:42:43,046 | INFO | [51/75 |  68.0% | 0.07 it/s] model=openai-o3-mini task=seds_f3_C1_r20_001 family=family3_forecast rep=0 lat_total_ms=245.3 energy_kwh=5.49599e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
2026-03-05 01:42:45,461 | INFO | [61/75 |  81.3% | 0.09 it/s] model=openai-o3-mini task=seds_f3_C1_r250_001 family=family3_forecast rep=0 lat_total_ms=178.9 energy_kwh=4.00133e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
2026-03-05 01:42:48,029 | INFO | [71/75 |  94.7% | 0.10 it/s] model=openai-o3-mini task=seds_f3_C1_r1000_001 family=family3_forecast rep=0 lat_total_ms=237.9 energy_kwh=5.30295e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
