model_id,family,n,pass_rate,json_valid_rate,avg_latency_ms,p95_latency_ms,error_rate,avg_tokens_out,avg_energy_kwh,avg_energy_cost_eur,avg_api_cost_usd,avg_mem_rss_delta_mb,avg_cpu_user_s_delta,avg_cpu_system_s_delta,numeric_mae,numeric_rmse,anomaly_f1_macro
ollama-qwen2.5-7b-instruct,family4_codegen,450,0.1711111111111111,0.17777777777777778,26292.822414813283,106228.6447665506,0.0,479.3022222222222,5.843034188828912e-05,1.7529102566486738e-05,0.0,0.00010416666666666667,0.001915454577777762,0.000601321386666669,,,
ollama-codellama-latest,family4_codegen,450,0.14,0.2733333333333333,28392.211334169133,77279.17453285989,0.0,339.70444444444445,6.30957035604605e-05,1.8928711068138146e-05,0.0,-0.051944444444444446,0.0018590560711113193,0.0007298633955555614,,,
ollama-qwen2.5-3b-instruct,family4_codegen,450,0.10888888888888888,0.12666666666666668,13926.197122228892,59169.083522950306,0.0,479.92170022371363,3.0948894825488896e-05,9.284668447646669e-06,0.0,-0.07951388888888888,0.0018393597155555873,0.0005990596088888887,,,
ollama-llama2-latest,family4_codegen,450,0.06,0.06,11513.182855866356,15924.2784918526,0.0,186.40666666666667,2.5586725994143934e-05,7.67601779824318e-06,0.0,-0.011631944444444445,0.001839695644444627,0.0007146353777777659,,,
ollama-gemma-latest,family4_codegen,450,0.04666666666666667,0.24666666666666667,16893.055162644516,34442.03953764445,0.0,75.28222222222222,3.7542004170143364e-05,1.1262601251043009e-05,0.0,-0.003125,0.0018750987377779734,0.0006879271822222173,,,
ollama-mistral-latest,family4_codegen,450,0.028888888888888888,0.88,27761.83013740018,156700.5412727011,0.0044444444444444444,333.3861607142857,6.169489519003497e-05,1.8508468557010492e-05,0.0,0.0038541666666666668,0.0019533186844442854,0.0006883620977777745,,,
ollama-mistral-7b-instruct,family4_codegen,450,0.02666666666666667,0.8644444444444445,28565.45296230446,158067.24357674786,0.022222222222222223,332.8363636363636,6.348062912205084e-05,1.9044188736615247e-05,0.0,-0.05385416666666667,0.001901062826666716,0.0006118013155555589,,,
ollama-llama3-latest,family4_codegen,450,0.017777777777777778,0.09111111111111111,22132.87601275122,39930.54613559979,0.0,338.06666666666666,4.91860981378923e-05,1.4755829441367691e-05,0.0,-0.005104166666666667,0.0019334576355554923,0.0006944537599999985,,,
ollama-deepseek-coder-latest,family4_codegen,450,0.0,0.0,8785.364207866563,22218.264352453116,0.0,312.8088888888889,1.9524945764421637e-05,5.857483729326491e-06,0.0,0.00020833333333333335,0.0019159267555555776,0.0006915123200000038,,,
ollama-qwen-latest,family4_codegen,450,0.0,0.08666666666666667,15097.426622326859,90473.51151630135,0.0,353.3125,3.355169212993694e-05,1.006550763898108e-05,0.0,-0.043368055555555556,0.001831021226666536,0.0006960503466666583,,,
