2026-03-04 16:30:04,637 | INFO | [1/75 |   1.3% | 0.12 it/s] model=openai-gpt-4.1-mini task=seds_f4_C4_r20_001 family=family4_codegen rep=0 lat_total_ms=8538.5 energy_kwh=0.000183153 src=ecologits err=None
2026-03-04 16:31:24,699 | INFO | [11/75 |  14.7% | 0.12 it/s] model=openai-gpt-4.1-mini task=seds_f4_C4_r250_001 family=family4_codegen rep=0 lat_total_ms=10392.5 energy_kwh=0.000146064 src=ecologits err=None
2026-03-04 16:32:43,612 | INFO | [21/75 |  28.0% | 0.13 it/s] model=openai-gpt-4.1-mini task=seds_f4_C4_r1000_001 family=family4_codegen rep=0 lat_total_ms=7165.7 energy_kwh=0.000130669 src=ecologits err=None
2026-03-04 16:34:07,474 | INFO | [31/75 |  41.3% | 0.12 it/s] model=openai-gpt-4.1 task=seds_f4_C4_r100_001 family=family4_codegen rep=0 lat_total_ms=6114.3 energy_kwh=0.000850879 src=ecologits err=None
2026-03-04 16:35:21,620 | INFO | [41/75 |  54.7% | 0.13 it/s] model=openai-gpt-4.1 task=seds_f4_C4_r500_001 family=family4_codegen rep=0 lat_total_ms=9163.8 energy_kwh=0.000888991 src=ecologits err=None
2026-03-04 16:36:49,261 | INFO | [51/75 |  68.0% | 0.12 it/s] model=openai-o3-mini task=seds_f4_C4_r20_001 family=family4_codegen rep=0 lat_total_ms=5863.0 energy_kwh=3.50442e-05 src=ecologits err=None
2026-03-04 16:37:42,831 | INFO | [61/75 |  81.3% | 0.13 it/s] model=openai-o3-mini task=seds_f4_C4_r250_001 family=family4_codegen rep=0 lat_total_ms=4397.4 energy_kwh=3.39018e-05 src=ecologits err=None
2026-03-04 16:38:34,399 | INFO | [71/75 |  94.7% | 0.14 it/s] model=openai-o3-mini task=seds_f4_C4_r1000_001 family=family4_codegen rep=0 lat_total_ms=5351.4 energy_kwh=3.46472e-05 src=ecologits err=None
2026-03-04 21:49:44,645 | INFO | [1/75 |   1.3% | 0.08 it/s] model=openai-gpt-4.1-mini task=seds_f4_C4_r20_001 family=family4_codegen rep=0 lat_total_ms=12577.1 energy_kwh=0.000192618 src=ecologits err=None
2026-03-04 21:50:59,364 | INFO | [11/75 |  14.7% | 0.13 it/s] model=openai-gpt-4.1-mini task=seds_f4_C4_r250_001 family=family4_codegen rep=0 lat_total_ms=7350.6 energy_kwh=0.000125881 src=ecologits err=None
2026-03-04 21:52:16,062 | INFO | [21/75 |  28.0% | 0.13 it/s] model=openai-gpt-4.1-mini task=seds_f4_C4_r1000_001 family=family4_codegen rep=0 lat_total_ms=11119.5 energy_kwh=0.000140588 src=ecologits err=None
2026-03-04 21:53:32,806 | INFO | [31/75 |  41.3% | 0.13 it/s] model=openai-gpt-4.1 task=seds_f4_C4_r100_001 family=family4_codegen rep=0 lat_total_ms=5765.9 energy_kwh=0.000846511 src=ecologits err=None
2026-03-04 21:54:45,160 | INFO | [41/75 |  54.7% | 0.13 it/s] model=openai-gpt-4.1 task=seds_f4_C4_r500_001 family=family4_codegen rep=0 lat_total_ms=8182.3 energy_kwh=0.000876718 src=ecologits err=None
2026-03-04 21:56:26,441 | INFO | [51/75 |  68.0% | 0.12 it/s] model=openai-o3-mini task=seds_f4_C4_r20_001 family=family4_codegen rep=0 lat_total_ms=3983.1 energy_kwh=3.35744e-05 src=ecologits err=None
2026-03-04 21:57:14,062 | INFO | [61/75 |  81.3% | 0.13 it/s] model=openai-o3-mini task=seds_f4_C4_r250_001 family=family4_codegen rep=0 lat_total_ms=4899.0 energy_kwh=3.42936e-05 src=ecologits err=None
2026-03-04 21:58:04,948 | INFO | [71/75 |  94.7% | 0.14 it/s] model=openai-o3-mini task=seds_f4_C4_r1000_001 family=family4_codegen rep=0 lat_total_ms=7212.9 energy_kwh=3.61015e-05 src=ecologits err=None
2026-03-05 00:00:12,430 | INFO | [1/75 |   1.3% | 0.14 it/s] model=openai-gpt-4.1-mini task=seds_f4_C4_r20_001 family=family4_codegen rep=0 lat_total_ms=7028.0 energy_kwh=0.000179615 src=ecologits err=None
2026-03-05 00:01:27,658 | INFO | [11/75 |  14.7% | 0.13 it/s] model=openai-gpt-4.1-mini task=seds_f4_C4_r250_001 family=family4_codegen rep=0 lat_total_ms=6165.7 energy_kwh=0.000145945 src=ecologits err=None
2026-03-05 00:02:28,182 | INFO | [21/75 |  28.0% | 0.15 it/s] model=openai-gpt-4.1-mini task=seds_f4_C4_r1000_001 family=family4_codegen rep=0 lat_total_ms=6095.3 energy_kwh=0.000123266 src=ecologits err=None
2026-03-05 00:03:29,037 | INFO | [31/75 |  41.3% | 0.15 it/s] model=openai-gpt-4.1 task=seds_f4_C4_r100_001 family=family4_codegen rep=0 lat_total_ms=6833.1 energy_kwh=0.000859855 src=ecologits err=None
2026-03-05 00:04:41,287 | INFO | [41/75 |  54.7% | 0.15 it/s] model=openai-gpt-4.1 task=seds_f4_C4_r500_001 family=family4_codegen rep=0 lat_total_ms=5246.7 energy_kwh=0.00084003 src=ecologits err=None
2026-03-05 00:05:46,989 | INFO | [51/75 |  68.0% | 0.15 it/s] model=openai-o3-mini task=seds_f4_C4_r20_001 family=family4_codegen rep=0 lat_total_ms=501.4 energy_kwh=1.12074e-06 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
2026-03-05 00:05:50,168 | INFO | [61/75 |  81.3% | 0.18 it/s] model=openai-o3-mini task=seds_f4_C4_r250_001 family=family4_codegen rep=0 lat_total_ms=212.9 energy_kwh=4.75544e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
2026-03-05 00:05:52,796 | INFO | [71/75 |  94.7% | 0.20 it/s] model=openai-o3-mini task=seds_f4_C4_r1000_001 family=family4_codegen rep=0 lat_total_ms=200.8 energy_kwh=4.48215e-07 src=local_heuristic err=BadRequestError('Error code: 400 - {\'error\': {\'message\': "Unsupported parameter: \'max_tokens\' is not supported with this model. Use \'max_completion_tokens\' instead.", \'type\': \'invalid_request_error\', \'param\': \'max_tokens\', \'code\': \'unsupported_parameter\'}}')
